Alkmaar,Castricum,Zaandam,Amsterdam Sloterdijk,Amsterdam Centraal,Amsterdam Amstel,Amsterdam Zuid
Amsterdam Sloterdijk,Haarlem,Heemstede-Aerdenhout,Leiden Centraal,Den Haag Centraal,Delft
Haarlem,Beverwijk,Castricum,Amsterdam Zuid

Amsterdam Zuid,Schiphol Airport,Leiden Centraal,Alphen a/d Rijn,Gouda,Rotterdam Alexander,Rotterdam Centraal
Beverwijk,Zaandam
Zaandam,Hoorn,Alkmaar
